DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,DTS,GR,NBGRCFM,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT
145.9,,,,,36.0,,,,,,,,,,,,,,,,,
146.0,,,,,36.0,,,,,,,,,,,,,,,,,
146.1,,,,,36.0,,,,,,,,,,,,,,,,,
146.2,,,,,36.0,,,,,,,,,,,,,,,,,
146.3,,,,,36.0,,,,,,,,,,,,,,,,,
146.4,,,,,36.0,,,,,,,,,,,,,,,,,
146.5,,,,,36.0,,,,,,,,,,,,,,,,,
146.6,,,,,36.0,,,,,,,,,,,,,,,,,
146.7,,,,,36.0,,,,,,,,,,,,,,,,,
146.8,,,,,36.0,,,,,,,,,,,,,,,,,
146.9,,,,,36.0,,,,,,,,,,,,,,,,,
147.0,,,,,36.0,,,,,,,,,,,,,,,,,
147.1,,,,,36.0,,,,,,,,,,,,,,,,,
147.2,,,,,36.0,,,,,,,,,,,,,,,,,
147.3,,,,,36.0,,,,,,,,,,,,,,,,,
147.4,,,,,36.0,,,,,,,,,,,,,,,,,
147.5,,,,,36.0,,,,,,,,,,,,,,,,,
147.6,,,,,36.0,,,,,,,,,,,,,,,,,
147.7,,,,,36.0,,,,,,,,,,,,,,,,,
147.8,,,,,36.0,,,,,,,,,,,,,,,,,
147.9,,,,,36.0,,,,,,,,,,,,,,,,,
148.0,,,,,36.0,,,,,,,,,,,,,,,,,
148.1,,,,,36.0,,,,,,,,,,,,,,,,,
148.2,,,,,36.0,,,,,,,,,,,,,,,,,
148.3,,,,,36.0,,,,,,,,,,,,,,,,,
148.4,,,,,36.0,,,,,,,,,,,,,,,,,
148.5,,,,,36.0,,,,,,,,,,,,,,,,,
148.6,,,,,36.0,,,,,,,,,,,,,,,,,
148.7,,,,,36.0,,,,,,,,,,,,,,,,,
148.8,,,,,36.0,,,,,,,,,,,,,,,,,
148.9,,,,,36.0,,,,,,,,,,,,,,,,,
149.0,,,,,36.0,,,,,,,,,,,,,,,,,
149.1,,,,,36.0,,,,,,,,,,,,,,,,,
149.2,,,,,36.0,,,,,,,,,,,,,,,,,
149.3,,,,,36.0,,,,,,,,,,,,,,,,,
149.4,,,,,36.0,,,,,,,,,,,,,,,,,
149.5,,,,,36.0,,,,,,,,,,,,,,,,,
149.6,,,,,36.0,,,,,,,,,,,,,,,,,
149.7,,,,,36.0,,,,,,,,,,,,,,,,,
149.8,,,,,36.0,,,,,,,,,,,,,,,,,
149.9,,,,,36.0,,,,,,,,,,,,,,,,,
150.0,,,,,36.0,,,,,,,,,,,,,,,,,
150.1,,,,,36.0,,,,,,,,,,,,,,,,,
150.2,,,,,36.0,,,,,,,,,,,,,,,,,
150.3,,,,,36.0,,,,,,,,,,,,,,,,,
150.4,,,,,36.0,,,,,,,,,,,,,,,,,
150.5,,,,,36.0,,,,,,,,,,,,,,,,,
150.6,,,,,36.0,,,,,,,,,,,,,,,,,
150.7,,,,,36.0,,,,,,,,,,,,,,,,,
150.8,,,,,36.0,,,,,,,,,,,,,,,,,
150.9,,,,,36.0,,,,,,,,,,,,,,,,,
151.0,,,,,36.0,,,,,,,,,,,,,,,,,
151.1,,,,,36.0,,,,,,,,,,,,,,,,,
151.2,,,,,36.0,,,,,,,,,,,,,,,,,
151.3,,,,,36.0,,,,,,,,,,,,,,,,,
151.4,,,,,36.0,,,,,,,,,,,,,,,,,
151.5,,,,,36.0,,,,,,,,,,,,,,,,,
151.6,,,,,36.0,,,,,,,,,,,,,,,,,
151.7,,,,,36.0,,,,,,,,,,,,,,,,,
151.8,,,,,36.0,,,,,,,,,,,,,,,,,
151.9,,,,,36.0,,,,,,,,,,,,,,,,,
152.0,,,,,36.0,,,,,,,,,,,,,,,,,
152.1,,,,,36.0,,,,,,,,,,,,,,,,,
152.2,,,,,36.0,,,,,,,,,,,,,,,,,
152.3,,,,,36.0,,,,,,,,,,,,,,,,,
152.4,,,,,36.0,,,,,,,,,,,,,,,,,
152.5,,,,,36.0,,,,,,,,,,,,,,,,,
152.6,,,,,36.0,,,,,,,,,,,,,,,,,
152.7,,,,,36.0,,,,,,,,,,,,,,,,,
152.8,,,,,36.0,,,,,,,,,,,,,,,,,
152.9,,,,,36.0,,,,,,,,,,,,,,,,,
153.0,,,,,36.0,,,,,,,,,,,,,,,,,
153.1,,,,,36.0,,,,,,,,,,,,,,,,,
153.2,,,,,36.0,,,,,,,,,,,,,,,,,
153.3,,,,,36.0,,,,,,,,,,,,,,,,,
153.4,,,,,36.0,,,,,,,,,,,,,,,,,
153.5,,,,,36.0,,,,,,,,,,,,,,,,,
